4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-5.00,15.00,-16.56,-7.27,-6.79,0.01364,71.07,RIGHT,1.15199E-01,100.03,3.35592E-01,97.49
0.00,15.00,-18.86,-7.42,-7.12,0.00000,75.00,LINEAR,8.83637E-02,117.26,3.29778E-01,117.26
-180.00,20.00,-16.44,-7.66,-7.12,0.00000,-70.00,LINEAR,1.16768E-01,122.89,3.20819E-01,-57.11
-175.00,20.00,-18.42,-7.51,-7.17,0.01424,-74.12,RIGHT,9.29610E-02,102.55,3.26444E-01,-74.35
-170.00,20.00,-20.96,-7.64,-7.44,0.04747,-78.10,RIGHT,6.94466E-02,78.08,3.21622E-01,-88.65
-165.00,20.00,-23.11,-8.00,-7.87,0.09722,-81.68,RIGHT,5.41702E-02,45.17,3.08616E-01,-100.39
-160.00,20.00,-23.25,-8.53,-8.39,0.15864,-84.69,RIGHT,5.33466E-02,9.79,2.90228E-01,-109.71
-155.00,20.00,-21.90,-9.19,-8.97,0.22585,-87.10,RIGHT,6.22695E-02,-14.57,2.69050E-01,-116.56
-150.00,20.00,-20.57,-9.93,-9.57,0.29344,-89.00,RIGHT,7.26115E-02,-27.59,2.47013E-01,-120.70
-145.00,20.00,-19.66,-10.74,-10.21,0.35761,89.44,RIGHT,8.05841E-02,-33.18,2.25256E-01,-121.82
-140.00,20.00,-19.17,-11.58,-10.89,0.41625,88.06,RIGHT,8.53094E-02,-33.39,2.04294E-01,-119.55
-135.00,20.00,-19.01,-12.47,-11.60,0.46821,86.79,RIGHT,8.69149E-02,-28.85,1.84379E-01,-113.53
-130.00,20.00,-19.11,-13.39,-12.36,0.51266,85.73,RIGHT,8.58640E-02,-19.58,1.65857E-01,-103.48
-125.00,20.00,-19.41,-14.30,-13.14,0.54928,85.14,RIGHT,8.29358E-02,-5.38,1.49376E-01,-89.26
-120.00,20.00,-19.80,-15.13,-13.85,0.57946,85.41,RIGHT,7.93748E-02,13.79,1.35833E-01,-70.99
-115.00,20.00,-20.08,-15.78,-14.41,0.60684,86.78,RIGHT,7.67812E-02,37.45,1.26058E-01,-49.21
-110.00,20.00,-20.12,-16.18,-14.71,0.63527,88.99,RIGHT,7.64614E-02,64.09,1.20322E-01,-24.96
-105.00,20.00,-19.89,-16.35,-14.76,0.66521,-88.72,RIGHT,7.85534E-02,91.55,1.18035E-01,0.47
-100.00,20.00,-19.53,-16.36,-14.65,0.69311,-87.34,RIGHT,8.18693E-02,117.97,1.17916E-01,25.98
-95.00,20.00,-19.23,-16.31,-14.52,0.71373,-87.74,RIGHT,8.47038E-02,142.42,1.18544E-01,50.87
-90.00,20.00,-19.12,-16.29,-14.47,0.72162,89.59,RIGHT,8.57878E-02,164.49,1.18878E-01,74.76
-85.00,20.00,-19.22,-16.31,-14.52,0.71146,84.87,RIGHT,8.48342E-02,-176.09,1.18544E-01,97.44
-80.00,20.00,-19.44,-16.36,-14.62,0.68040,79.03,RIGHT,8.27041E-02,-159.61,1.17915E-01,118.77
